Fold,Epoch,LearningRate,GoldLoss,PseudoLoss,TotalLoss,GoldSteps,PseudoStudiesSeenThisEpoch,PseudoSelectedCellsSeenThisEpoch,ValLoss,ValMacroAUROC,ValMacroAP,ValMacroF1
4,1,0.0009829799502313896,1.096010664676098,0.6905784530842558,1.2686552823858057,47,47,111,0.9772043932567943,0.5416666666666666,0.5369775347007489,0.21130189255189255
4,2,0.0009330796891903274,0.9998621648930489,0.7097346548070299,1.1772958293874214,47,47,126,0.946581629189578,0.5811673280423281,0.5210530904280904,0.16552197802197802
4,3,0.0008536998372026806,0.9528211773710048,0.6940208660795334,1.1263263935738421,47,47,130,0.9452914270487699,0.6241071428571429,0.5784925144300145,0.16898148148148148
4,4,0.0007502500000000002,0.9648668309475513,0.6925721219245423,1.1380098639650549,47,47,108,0.9338958209211176,0.6032076719576721,0.5642921992029135,0.21992012617012616
4,5,0.0006297801130287093,0.9720337505036212,0.676507980265516,1.1411607569836555,47,47,104,0.9364385875788602,0.6116236772486773,0.559395764618979,0.40458892958892956
4,6,0.0005005000000000001,0.96964160812662,0.6803735519977326,1.1397349961260532,47,47,127,0.9279184178872542,0.6558035714285715,0.6023886183261183,0.1782534595034595
4,7,0.000371219886971291,0.9388011757363665,0.6773173301777942,1.1081305044762633,47,47,129,0.9281380664218556,0.6481977513227514,0.5622414622414622,0.2817437192437192
4,8,0.00025075000000000016,0.9499412407266333,0.6740748210156218,1.118459941224849,47,47,106,0.9230825034054843,0.6396329365079365,0.5612862468219612,0.27135480260480255
4,9,0.00014730016279731957,0.9293693418198443,0.6779017144061149,1.0988447742259249,47,47,106,0.9238387454639782,0.6277116402116403,0.5696129663986808,0.2876961001961002
4,10,6.792031080967288e-05,0.929814985457887,0.6881038736789784,1.1018409551458155,47,47,107,0.9237004518508911,0.6141203703703704,0.5713788394145538,0.28354446479446477
4,11,1.802004976861044e-05,0.9240012092793242,0.6600055238033863,1.0890025927665385,47,47,110,0.9250019517811862,0.6184854497354498,0.5721923314780458,0.2860576923076923
4,12,1e-06,0.9221119360720857,0.6541902232677379,1.0856594887185604,47,47,105,0.9249842221086676,0.6199735449735451,0.5710585446299733,0.2783316220816221
