Variant,Label,N,Positive,Negative,AUROC,AP,Brier,PriorBrier
w23,ACL,58,24,34,0.926470588235294,0.9341966078917832,0.09646333851884575,0.2425683709869204
w23,MCL,58,9,49,0.9501133786848073,0.6563492063492063,0.09768416230993035,0.13109393579072534
w23,Medial Meniscus,58,26,32,0.8443509615384615,0.8432380103009324,0.13671821045972066,0.24732461355529128
w23,Lateral Meniscus,58,23,35,0.8155279503105589,0.753381617747689,0.15494536661387817,0.23929845422116525
w23,Medial OA,58,15,43,0.7077519379844961,0.6095239130922957,0.16562023076425503,0.1917360285374554
w23,Lateral OA,58,11,47,0.6595744680851064,0.46294996294996293,0.15252199920745635,0.1536860879904875
w23,PF OA,58,21,37,0.7496782496782496,0.73132334477978,0.1728513581755435,0.23097502972651607
w23,Effusion,58,35,23,0.6931677018633541,0.7816322053486825,0.2140965487377987,0.23929845422116525
w23,Synovitis,58,27,31,0.5495818399044204,0.5407130814996743,0.2462246295781184,0.24881093935790732
w23,Baker's,58,12,46,0.8306159420289855,0.74882395017863,0.10683605555653652,0.16409036860879905
w23,Contusion,58,19,39,0.7037786774628879,0.5184417050405852,0.20286445228331107,0.22027348394768137
w23,Fracture,58,18,40,0.8243055555555556,0.6181445892399239,0.1620403437023011,0.21403091557669437
fs4_replace,ACL,58,24,34,0.926470588235294,0.9341966078917832,0.09646333851884575,0.2425683709869204
fs4_replace,MCL,58,9,49,0.9501133786848073,0.6563492063492063,0.09768416230993035,0.13109393579072534
fs4_replace,Medial Meniscus,58,26,32,0.8443509615384615,0.8432380103009324,0.13671821045972066,0.24732461355529128
fs4_replace,Lateral Meniscus,58,23,35,0.8155279503105589,0.753381617747689,0.15494536661387817,0.23929845422116525
fs4_replace,Medial OA,58,15,43,0.8596899224806202,0.7574309609705148,0.11642165518448275,0.1917360285374554
fs4_replace,Lateral OA,58,11,47,0.7282398452611218,0.48723316252198867,0.14312911741379308,0.1536860879904875
fs4_replace,PF OA,58,21,37,0.8577863577863578,0.7803057788772074,0.14940110758965516,0.23097502972651607
fs4_replace,Effusion,58,35,23,0.6931677018633541,0.7816322053486825,0.2140965487377987,0.23929845422116525
fs4_replace,Synovitis,58,27,31,0.7270011947431303,0.7179381002989034,0.2488388793137931,0.24881093935790732
fs4_replace,Baker's,58,12,46,0.8306159420289855,0.74882395017863,0.10683605555653652,0.16409036860879905
fs4_replace,Contusion,58,19,39,0.7037786774628879,0.5184417050405852,0.20286445228331107,0.22027348394768137
fs4_replace,Fracture,58,18,40,0.8243055555555556,0.6181445892399239,0.1620403437023011,0.21403091557669437
fs4_fixed50,ACL,58,24,34,0.926470588235294,0.9341966078917832,0.09646333851884575,0.2425683709869204
fs4_fixed50,MCL,58,9,49,0.9501133786848073,0.6563492063492063,0.09768416230993035,0.13109393579072534
fs4_fixed50,Medial Meniscus,58,26,32,0.8443509615384615,0.8432380103009324,0.13671821045972066,0.24732461355529128
fs4_fixed50,Lateral Meniscus,58,23,35,0.8155279503105589,0.753381617747689,0.15494536661387817,0.23929845422116525
fs4_fixed50,Medial OA,58,15,43,0.8434108527131784,0.7448878609637123,0.12414374830444683,0.1917360285374554
fs4_fixed50,Lateral OA,58,11,47,0.7243713733075435,0.555311572565057,0.13287563942642971,0.1536860879904875
fs4_fixed50,PF OA,58,21,37,0.8468468468468469,0.805415345179461,0.1485713442651479,0.23097502972651607
fs4_fixed50,Effusion,58,35,23,0.6931677018633541,0.7816322053486825,0.2140965487377987,0.23929845422116525
fs4_fixed50,Synovitis,58,27,31,0.7084826762246117,0.6708803625769215,0.22372478368029003,0.24881093935790732
fs4_fixed50,Baker's,58,12,46,0.8306159420289855,0.74882395017863,0.10683605555653652,0.16409036860879905
fs4_fixed50,Contusion,58,19,39,0.7037786774628879,0.5184417050405852,0.20286445228331107,0.22027348394768137
fs4_fixed50,Fracture,58,18,40,0.8243055555555556,0.6181445892399239,0.1620403437023011,0.21403091557669437
