Variant,Scope,Seed,Epoch,GoldLoss,PseudoLoss,TotalLoss,LearningRate,ElapsedSeconds,PseudoMass::ACL,PseudoMass::MCL,PseudoMass::Medial Meniscus,PseudoMass::Lateral Meniscus,PseudoMass::Medial OA,PseudoMass::Lateral OA,PseudoMass::PF OA,PseudoMass::Effusion,PseudoMass::Synovitis,PseudoMass::Baker's,PseudoMass::Contusion,PseudoMass::Fracture
w60,full_all58,6001,1,0.8578438367694616,0.6958223413676023,0.8398414477705956,0.00040379170073213423,2.357332468032837,677.2999982833862,647.9000015258789,988.3000068664551,1024.500015258789,1844.4136505126953,1845.1415214538574,1867.3212509155273,947.8999824523926,1867.4377899169922,541.499997138977,154.499995470047,330.5000033378601
w60,full_all58,6001,2,0.6113602463155985,0.7983670365065336,0.6321387868374586,0.0009437317965886256,4.138975381851196,657.3000049591064,667.7000007629395,967.4000053405762,1032.1000080108643,1836.17728805542,1833.5791931152344,1844.0608863830566,941.399995803833,1876.0101356506348,562.8000030517578,144.17999875545502,301.9000015258789
w60,full_all58,6001,3,0.44551347102969885,0.867792434990406,0.49243336357176304,0.000997894146250357,5.897693634033203,648.4999952316284,652.3000001907349,976.6000061035156,1056.8000030517578,1845.103214263916,1833.906452178955,1861.0593223571777,935.9999866485596,1869.857852935791,555.2000064849854,146.99999737739563,324.8000011444092
w60,full_all58,6001,4,0.23136106645688415,0.9827002007514238,0.3148431945592165,0.0009859933784373501,7.664992094039917,710.9000062942505,656.9999990463257,954.0000019073486,1038.3000049591064,1847.600700378418,1852.4724426269531,1852.9512100219727,938.3999824523926,1864.1290283203125,558.499997138977,153.71999716758728,337.90000200271606
w60,full_all58,6001,5,0.12846008967608213,1.0215146951377392,0.22768838284537196,0.0009638300653841702,9.509495973587036,657.5,677.0000009536743,987.3000011444092,1052.7999992370605,1835.4767951965332,1819.2574882507324,1851.7687683105469,948.0999870300293,1861.4430236816406,544.3999996185303,150.3599967956543,353.900004863739
w60,full_all58,6001,6,0.08030089258681983,1.0084240268915892,0.18342568771913648,0.0009318722236297356,11.300092458724976,680.7999992370605,669.0000038146973,991.8000087738037,1047.900016784668,1838.5382270812988,1838.9665336608887,1859.9819946289062,945.1999912261963,1862.8312149047852,542.5999994277954,155.63999676704407,341.60000228881836
w60,full_all58,6001,7,0.05869478429667652,0.9247531034052372,0.1549234907142818,0.000890794698060879,13.105027198791504,693.0999965667725,708.8000030517578,1022.4000015258789,1089.9000129699707,1857.2265167236328,1834.9742393493652,1863.2605094909668,956.199987411499,1881.8299407958984,551.8000068664551,147.35999655723572,323.00000047683716
w60,full_all58,6001,8,0.046819269307889044,0.8302475158125162,0.133866855641827,0.0008414649113999131,14.882661819458008,694.3000049591064,707.8000030517578,967.8999977111816,1056.6000080108643,1854.1362113952637,1826.4225845336914,1871.313117980957,976.0999736785889,1874.5904693603516,566.6000099182129,148.0199978351593,339.30000352859497
w60,full_all58,6001,9,0.03643465100321919,0.7521737609058619,0.11596121895126998,0.0007849245470794208,16.717838525772095,688.7999982833862,668.6000032424927,984.6999988555908,1079.1000175476074,1834.2309379577637,1838.0456809997559,1850.5061302185059,951.1999759674072,1858.4760055541992,557.5999956130981,149.87999892234802,320.5000033378601
w60,full_all58,6001,10,0.027190901921130717,0.7062492184340954,0.10264182765968144,0.0007223675523019238,18.487053394317627,623.1999950408936,630.5999975204468,950.4000034332275,1052.500005722046,1834.5405540466309,1835.4661979675293,1857.7021598815918,937.3000011444092,1858.8846435546875,562.399995803833,144.83999800682068,311.4000039100647
w60,full_all58,6001,11,0.021395685034804046,0.6841777320951223,0.09503813600167632,0.0006551149257877237,20.271931648254395,702.6000032424927,668.1000022888184,970.5999927520752,1095.7000179290771,1847.2942237854004,1829.214183807373,1856.6202201843262,973.1999969482422,1861.732192993164,560.000002861023,148.37999761104584,327.2999987602234
