Variant,Scope,Seed,Epoch,GoldLoss,PseudoLoss,TotalLoss,LearningRate,ElapsedSeconds,PseudoMass::ACL,PseudoMass::MCL,PseudoMass::Medial Meniscus,PseudoMass::Lateral Meniscus,PseudoMass::Medial OA,PseudoMass::Lateral OA,PseudoMass::PF OA,PseudoMass::Effusion,PseudoMass::Synovitis,PseudoMass::Baker's,PseudoMass::Contusion,PseudoMass::Fracture
w60,full_all58,6001,12,0.015512462996412069,0.6589981261640787,0.08701087045483291,0.0005845868226110556,22.03599262237549,673.8000011444092,685.9000015258789,1000.7999992370605,1083.1000022888184,1849.2400360107422,1836.347484588623,1856.6386528015137,960.3000030517578,1860.062328338623,557.3000049591064,144.47999596595764,326.50000524520874
w60,full_all58,6001,13,0.014016182365594432,0.6485519409179688,0.08452015579678118,0.0005122725651789991,24.003556966781616,668.9000043869019,671.6000061035156,981.0999984741211,1030.900001525879,1855.6733474731445,1835.918399810791,1868.4491157531738,968.3999938964844,1857.5178184509277,536.0000019073486,152.7599983215332,329.4000015258789
w60,full_all58,6001,14,0.011799094383604825,0.646380702033639,0.08230816200375557,0.0004396991936229908,25.881717920303345,681.600001335144,653.600004196167,955.9999980926514,1039.9000225067139,1843.5522117614746,1830.3788032531738,1858.2628173828125,967.299976348877,1875.9958000183105,570.700008392334,155.57999682426453,323.90000200271606
w60,full_all58,6001,15,0.011110796447610483,0.6411069538444281,0.08111036941409111,0.000368399219715606,27.769500017166138,704.8000001907349,690.6000061035156,1017.8000049591064,1049.900016784668,1859.0038681030273,1835.7486839294434,1872.0190773010254,972.0999927520752,1877.3994903564453,588.4000024795532,159.9599964618683,373.4000005722046
w60,full_all58,6001,16,0.00871741540322546,0.6420741938054562,0.07909039151854813,0.0002998782652442116,29.639265537261963,673.0999984741211,660.5000047683716,968.7000026702881,1051.6999988555908,1847.265769958496,1826.0915832519531,1865.855239868164,964.2999839782715,1869.949016571045,566.7000102996826,146.93999767303467,322.80000162124634
w60,full_all58,6001,17,0.008435632378677838,0.6360200494527817,0.07816723478026688,0.0002355832682129828,31.53843665122986,690.9000005722046,687.7000007629395,989.2999973297119,1063.4000034332275,1830.0615615844727,1831.6733932495117,1857.8896293640137,953.0000057220459,1866.9419403076172,546.4000024795532,156.8399965763092,326.2000002861023
w60,full_all58,6001,18,0.008414330819505267,0.635442590340972,0.07808413729071617,0.00017687192825410517,33.42744994163513,615.4000015258789,615.8000030517578,961.0999984741211,1055.2000122070312,1829.3568267822266,1830.3607292175293,1854.5207252502441,950.199987411499,1864.6515579223633,525.8000001907349,142.61999881267548,337.0000014305115
w60,full_all58,6001,19,0.0075740018946817145,0.6335771847516298,0.07712991116568446,0.0001249840364609445,35.329283714294434,680.3000020980835,687.8000068664551,996.0999965667725,1039.0000133514404,1856.5769348144531,1837.6169471740723,1866.1159896850586,971.099983215332,1876.316795349121,553.8000011444092,149.51999831199646,315.2999997138977
w60,full_all58,6001,20,0.007220056344522163,0.6339541561901569,0.07685718010179698,8.10152950631509e-05,37.1883327960968,650.5000047683716,655.000002861023,979.0000095367432,1049.4000053405762,1836.935390472412,1833.6973762512207,1866.567813873291,936.1999912261963,1867.9808197021484,552.4000062942505,152.39999842643738,320.7000033855438
w60,full_all58,6001,21,0.007931234023999423,0.6336966995149851,0.07746073044836521,4.589417978636221e-05,39.04239010810852,658.1000003814697,659.500002861023,980.1000156402588,1052.4000034332275,1848.147617340088,1833.8800773620605,1863.0719757080078,968.8000030517578,1868.8595275878906,565.4999980926514,137.51999688148499,313.49999380111694
w60,full_all58,6001,22,0.00683951293467544,0.6311892829835415,0.07621171022765338,2.0362333487643505e-05,40.94037079811096,678.0000038146973,667.9999990463257,1004.4000053405762,1034.900001525879,1850.9354057312012,1849.7638092041016,1871.4897651672363,984.5999927520752,1876.5371551513672,577.4000062942505,158.4599974155426,347.5
w60,full_all58,6001,23,0.006437276941142045,0.631435751914978,0.07588155334815383,4.958905088830256e-06,42.828282594680786,657.2000036239624,652.2000045776367,1002.1999969482422,1055.3000087738037,1855.2912292480469,1842.3305015563965,1870.198932647705,955.7999935150146,1874.9030227661133,564.4000072479248,149.88000059127808,327.7999978065491
w60,full_all58,6001,24,0.006947381116333418,0.6290317922830582,0.07606787118129432,9.164518176878753e-09,44.721410274505615,659.899998664856,661.7000064849854,936.8000049591064,1062.8000240325928,1858.0696411132812,1835.2526817321777,1875.8121910095215,940.8000030517578,1871.2830696105957,544.9000034332275,151.3799979686737,328.1000051498413
