Epoch,OOF_Macro_AUROC,OOF_Macro_AP,OOF_Macro_F1
1,0.5961389459041517,0.472149593183988,0.4056694284462808
2,0.6461876544312146,0.5163010072150297,0.4960255882681419
3,0.6429044297261551,0.4885096727941769,0.46558170891276224
4,0.62424551240766,0.476107408026562,0.41616717345178583
5,0.6318484034500861,0.48230997201418147,0.4347218893165054
6,0.6209974673107762,0.4826505242401726,0.46221999186286794
7,0.6230210737229845,0.4843511482261949,0.43443721953952136
8,0.6145207276348331,0.48071591102963485,0.42771107576061146
9,0.6336233748094974,0.5006283608525427,0.4208562722904387
10,0.64899151782383,0.5088449051161287,0.4503015276478463
11,0.6400495880681557,0.49607921045145725,0.43406671318689577
12,0.6407775228351138,0.4934063727454699,0.4210949440612753
13,0.624113299604563,0.4862367617805305,0.420989774819841
14,0.6374206704866338,0.49329762220139034,0.4267087235810305
15,0.6408277183852245,0.4972346933463603,0.4030627598485801
16,0.6339162307235714,0.4982602474007307,0.4316340947123753
17,0.6382968666486825,0.49651873111933326,0.4213814868113202
18,0.63517401227326,0.4957175992168837,0.4259270173539454
19,0.6448702064572817,0.4995570943842916,0.4321118254144352
20,0.6415204784859138,0.4972188699917288,0.4232505574134037
21,0.6347852381143098,0.492979214374271,0.428365442662572
22,0.6410389153384356,0.4963417144763515,0.4319994793375786
23,0.6406361901083001,0.4986689843987407,0.43222958918841003
24,0.6410767022764444,0.4986983842730022,0.43222958918841003
