OuterFold,Label,OuterTrainN,GoldPositive,GoldNegative,InnerCVSplits,InnerCVRepeats,InnerOOF_AUROC,InnerOOF_AP,InnerOOF_Brier,InnerPrior_Brier,InnerBrierImprovementVsPrior,InnerOOF_LogLoss,EvidenceAvailableN,EvidenceCoverage,EvidenceOnly_AUROC,EvidenceOnly_AP,EvidenceOnly_Brier,EvidenceOnly_Prior_Brier,EvidenceOnly_BrierImprovementVsPrior,OuterTrainPriorProbability,OuterTrainEvidencePriorProbability,PseudoLabelGateReason,PseudoLabelGatePass
1,ACL,47,20,27,5,5,0.901851851851852,0.9216033021038972,0.10465295652337711,0.24445450430058843,0.13980154777721132,0.36706503864732287,31,0.6595744680851063,0.9615384615384615,0.9718033850967289,0.09137901630218082,0.2434963579604579,0.1521173416582771,0.425531914893617,0.5806451612903226,pass,True
1,MCL,47,8,39,5,5,1.0,1.0,0.07867557439837873,0.14124038026256222,0.06256480586418349,0.31253154508981457,22,0.46808510638297873,1.0,1.0,0.1102100365620975,0.23140495867768598,0.12119492211558848,0.1702127659574468,0.36363636363636365,pass,True
1,Medial Meniscus,47,21,26,5,5,0.8113553113553114,0.8211305362123587,0.152149145815256,0.24717066545948385,0.09502151964422786,0.48171193593906214,27,0.574468085106383,0.8705882352941176,0.8989927978090426,0.13006858060209286,0.23319615912208505,0.10312757851999219,0.44680851063829785,0.6296296296296297,pass,True
1,Lateral Meniscus,47,18,29,5,5,0.7969348659003831,0.7038190104313293,0.16564351821089965,0.2363060208239023,0.07066250261300266,0.5177900200844017,34,0.723404255319149,0.8140350877192982,0.7333062144826851,0.16215184765720242,0.2465397923875432,0.08438794473034078,0.3829787234042553,0.4411764705882353,pass,True
1,Medial OA,47,12,35,5,5,0.6833333333333333,0.5663276009492874,0.18134934073332998,0.19013128112267996,0.008781940389349985,0.5431632167307057,6,0.1276595744680851,0.75,0.9166666666666666,0.2073755389661992,0.22222222222222224,0.014846683256023036,0.2553191489361702,0.6666666666666666,insufficient_evidence_n,False
1,Lateral OA,47,8,39,5,5,0.7211538461538461,0.5030878478246898,0.14286840373585194,0.14124038026256222,-0.0016280234732897192,0.46315999527973534,2,0.0425531914893617,1.0,1.0,0.07065995796733612,0.25,0.17934004203266388,0.1702127659574468,0.5,insufficient_evidence_n,False
1,PF OA,47,17,30,5,5,0.7823529411764706,0.7601949933556185,0.15837743781413843,0.23087369850611142,0.07249626069197299,0.49642991218813853,10,0.2127659574468085,0.3333333333333333,0.9060405643738978,0.11237286309802592,0.09000000000000001,-0.022372863098025914,0.3617021276595745,0.9,insufficient_evidence_n|evidence_auc_below_gate|evidence_brier_not_better_than_prior,False
1,Effusion,47,28,19,5,5,0.6654135338345865,0.7168269745060104,0.22040125432426522,0.24083295608872787,0.020431701764462656,0.6320964051125246,41,0.8723404255319149,0.7156862745098039,0.7401453553573173,0.21207662070778238,0.2427126710291493,0.03063605032136693,0.5957446808510638,0.5853658536585366,pass,True
1,Synovitis,47,21,26,5,5,0.4725274725274725,0.4718840363100294,0.2572027420274351,0.24717066545948385,-0.010032076567951242,0.7178011305058719,12,0.2553191489361702,0.15625,0.5311823593073592,0.3130012319748116,0.22222222222222224,-0.09077900975258937,0.44680851063829785,0.6666666666666666,insufficient_evidence_n|evidence_auc_below_gate|evidence_brier_not_better_than_prior,False
1,Baker's,47,9,38,5,5,0.8567251461988303,0.7761106505787359,0.10645665121291506,0.1548211860570394,0.04836453484412434,0.37886809034358787,17,0.3617021276595745,0.8472222222222223,0.8491883116883118,0.1689488814886858,0.24913494809688583,0.08018606660820002,0.19148936170212766,0.47058823529411764,pass,True
1,Contusion,47,15,32,5,5,0.84375,0.7102246100419475,0.16373248949556685,0.21729289271163427,0.05356040321606742,0.5004561716694647,31,0.6595744680851063,0.6875,0.7102246100419475,0.22060665605973082,0.24973985431841836,0.029133198258687543,0.3191489361702128,0.4838709677419355,pass,True
1,Fracture,47,14,33,5,5,0.7965367965367965,0.6501763065672839,0.16879682494227383,0.20914440923494804,0.04034758429267421,0.5231379613899348,21,0.44680851063829785,0.8090909090909091,0.7366955266955266,0.18685240545108073,0.24943310657596368,0.06258070112488295,0.2978723404255319,0.47619047619047616,pass,True
2,ACL,46,19,27,5,5,0.9415204678362572,0.9603175165445355,0.07142200586109136,0.24243856332703215,0.1710165574659408,0.28693004264434113,30,0.6521739130434783,0.986111111111111,0.9907216297825174,0.06555919729919238,0.24000000000000005,0.17444080270080767,0.41304347826086957,0.6,pass,True
2,MCL,46,7,39,5,5,0.9084249084249084,0.5199245199245198,0.1186557585334109,0.12901701323251413,0.010361254699103234,0.407747577446546,24,0.5217391304347826,0.7899159663865546,0.5199245199245199,0.18184391864167848,0.2065972222222222,0.02475330358054373,0.15217391304347827,0.2916666666666667,pass,True
2,Medial Meniscus,46,20,26,5,5,0.826923076923077,0.807357089878459,0.13545641359444355,0.2457466918714556,0.11029027827701204,0.44430016090158636,27,0.5869565217391305,0.7530864197530864,0.8483821761836973,0.15174151757086796,0.22222222222222218,0.07048070465135423,0.43478260869565216,0.6666666666666666,pass,True
2,Lateral Meniscus,46,18,28,5,5,0.7301587301587301,0.5786005212947375,0.19649026284633198,0.23818525519848785,0.041694992352155874,0.5852420566891975,34,0.7391304347826086,0.75,0.5946491591974785,0.18716335629406827,0.24221453287197228,0.05505117657790401,0.391304347826087,0.4117647058823529,pass,True
2,Medial OA,46,11,35,5,5,0.7636363636363638,0.6836536048492571,0.1503363930748432,0.1819470699432893,0.0316106768684461,0.476533599287008,7,0.15217391304347827,0.7,0.9028571428571428,0.21261011842073957,0.2040816326530612,-0.008528485767678368,0.2391304347826087,0.7142857142857143,insufficient_evidence_n|evidence_brier_not_better_than_prior,False
2,Lateral OA,46,9,37,5,5,0.5885885885885886,0.44484812130160967,0.15577633534020655,0.15737240075614364,0.001596065415937098,0.4939594929990779,2,0.043478260869565216,1.0,1.0,0.052398580885790025,0.25,0.19760141911420998,0.1956521739130435,0.5,insufficient_evidence_n,False
2,PF OA,46,17,29,5,5,0.7505070993914806,0.7285058892877248,0.17038024735811524,0.23298676748582228,0.06260652012770704,0.5230803777938983,9,0.1956521739130435,0.25,0.8755456349206349,0.11622398236763959,0.09876543209876544,-0.01745855026887415,0.3695652173913043,0.8888888888888888,insufficient_evidence_n|evidence_auc_below_gate|evidence_brier_not_better_than_prior,False
2,Effusion,46,28,18,5,5,0.6626984126984127,0.710433587050805,0.21927507611849834,0.2381852551984878,0.01891017907998946,0.6295196079163441,40,0.8695652173913043,0.7013333333333334,0.7283149666291322,0.206853624301902,0.234375,0.02752137569809801,0.6086956521739131,0.625,pass,True
2,Synovitis,46,22,24,5,5,0.4867424242424243,0.508335383865766,0.255963254327125,0.24952741020793953,-0.006435844119185491,0.7156495251544712,13,0.2826086956521739,0.1388888888888889,0.5506283839617172,0.286482087639397,0.21301775147928995,-0.07346433616010703,0.4782608695652174,0.6923076923076923,insufficient_evidence_n|evidence_auc_below_gate|evidence_brier_not_better_than_prior,False
2,Baker's,46,9,37,5,5,0.7537537537537538,0.7344215097838287,0.12267408590759495,0.15737240075614362,0.03469831484854867,0.4164849823199539,16,0.34782608695652173,0.873015873015873,0.890909090909091,0.16635186399598034,0.24609375,0.07974188600401966,0.1956521739130435,0.4375,pass,True
2,Contusion,46,16,30,5,5,0.7375,0.5935691223990036,0.20395585395520094,0.22684310018903583,0.022887246233834896,0.5950518034180116,30,0.6521739130434783,0.5733333333333334,0.6099519914285023,0.2558794391819905,0.25,-0.00587943918199052,0.34782608695652173,0.5,evidence_brier_not_better_than_prior,False
2,Fracture,46,14,32,5,5,0.7790178571428572,0.5693000827853045,0.17628706160837018,0.2117202268431002,0.03543316523473003,0.5416547444647138,19,0.41304347826086957,0.6666666666666667,0.6220337995337996,0.21600658329432143,0.24930747922437677,0.033300895930055335,0.30434782608695654,0.5263157894736842,pass,True
3,ACL,47,19,28,5,5,0.943609022556391,0.9528567407824371,0.08779370067908358,0.24083295608872785,0.15303925540964425,0.3249991749980183,32,0.6808510638297872,1.0,1.0,0.06531780143546403,0.2490234375,0.18370563606453597,0.40425531914893614,0.53125,pass,True
3,MCL,47,7,40,5,5,0.9428571428571428,0.6349567099567099,0.10468931885308835,0.1267541874151199,0.022064868562031548,0.3768711412971038,24,0.5106382978723404,0.8655462184873949,0.6349567099567099,0.15660041533531815,0.2065972222222222,0.049996806886904055,0.14893617021276595,0.2916666666666667,pass,True
3,Medial Meniscus,47,21,26,5,5,0.8003663003663002,0.7696414412793757,0.15190626607479757,0.24717066545948385,0.09526439938468628,0.48642996585549414,28,0.5957446808510638,0.7944444444444445,0.8221678956005583,0.15167757160556844,0.2295918367346939,0.07791426512912547,0.44680851063829785,0.6428571428571429,pass,True
3,Lateral Meniscus,47,19,28,5,5,0.7951127819548872,0.7124486026926499,0.1557828327819833,0.24083295608872787,0.08505012330674458,0.49504908187101015,36,0.7659574468085106,0.8328173374613003,0.7510521437424551,0.14473406148267512,0.24922839506172836,0.10449433357905324,0.40425531914893614,0.4722222222222222,pass,True
3,Medial OA,47,13,34,5,5,0.7488687782805431,0.6373116455265284,0.17650890660874927,0.20009053870529647,0.023581632096547206,0.5351701864624242,4,0.0851063829787234,,,0.015104074490095775,0.0,-0.015104074490095775,0.2765957446808511,1.0,insufficient_evidence_n|evidence_auc_below_gate|evidence_brier_not_better_than_prior,False
3,Lateral OA,47,9,38,5,5,0.5263157894736842,0.3138806489994945,0.17289007897168338,0.1548211860570394,-0.018068892914643975,0.5324775221342083,0,0.0,,,,,,0.19148936170212766,,insufficient_evidence_n|evidence_auc_below_gate|evidence_brier_not_better_than_prior,False
3,PF OA,47,17,30,5,5,0.6490196078431372,0.6399668366631827,0.1986310826786691,0.23087369850611136,0.032242615827442256,0.5878087681244134,7,0.14893617021276595,0.3333333333333333,0.8734126984126983,0.1445620430427287,0.12244897959183675,-0.022113063450891965,0.3617021276595745,0.8571428571428571,insufficient_evidence_n|evidence_auc_below_gate|evidence_brier_not_better_than_prior,False
3,Effusion,47,28,19,5,5,0.6522556390977443,0.7051100030594992,0.22019451382756225,0.24083295608872787,0.020638442261165624,0.6302112916153882,42,0.8936170212765957,0.7011764705882353,0.7256594002165626,0.20753159274787214,0.24092970521541948,0.03339811246754734,0.5957446808510638,0.5952380952380952,pass,True
3,Synovitis,47,21,26,5,5,0.5366300366300366,0.5138140207910455,0.2372525127918638,0.24717066545948385,0.009918152667620056,0.7096237400175461,12,0.2553191489361702,0.07407407407407408,0.5970779220779221,0.25618746786653174,0.1875,-0.06868746786653174,0.44680851063829785,0.75,insufficient_evidence_n|evidence_auc_below_gate|evidence_brier_not_better_than_prior,False
3,Baker's,47,10,37,5,5,0.7648648648648648,0.7030081974762825,0.12722529001844315,0.16749660479855144,0.040271314780108286,0.42849845133203684,19,0.40425531914893614,0.8409090909090909,0.8271645021645022,0.1662964948771281,0.24376731301939059,0.07747081814226248,0.2127659574468085,0.42105263157894735,pass,True
3,Contusion,47,15,32,5,5,0.8145833333333334,0.6562049033045674,0.16898824417912392,0.21729289271163427,0.04830464853251035,0.5225324587117544,31,0.6595744680851063,0.7605042016806722,0.6802803295284497,0.20351776299155935,0.24765868886576473,0.04414092587420537,0.3191489361702128,0.45161290322580644,pass,True
3,Fracture,47,14,33,5,5,0.7857142857142857,0.6361402485278184,0.16887327744957836,0.20914440923494806,0.0402711317853697,0.5342158548472423,19,0.40425531914893614,0.8333333333333333,0.7231922398589066,0.1788022527002882,0.2493074792243768,0.07050522652408858,0.2978723404255319,0.47368421052631576,pass,True
