Variant,Label,N,Positive,AUROC,AP,Brier
w23,ACL,58,24,0.926470588235294,0.9341966078917832,0.09646333851884575
w23,MCL,58,9,0.9501133786848073,0.6563492063492063,0.09768416230993035
w23,Medial Meniscus,58,26,0.8443509615384615,0.8432380103009324,0.13671821045972066
w23,Lateral Meniscus,58,23,0.8155279503105589,0.753381617747689,0.15494536661387817
w23,Medial OA,58,15,0.7077519379844961,0.6095239130922957,0.16562023076425503
w23,Lateral OA,58,11,0.6595744680851064,0.46294996294996293,0.15252199920745635
w23,PF OA,58,21,0.7496782496782496,0.73132334477978,0.1728513581755435
w23,Effusion,58,35,0.6931677018633541,0.7816322053486825,0.2140965487377987
w23,Synovitis,58,27,0.5495818399044204,0.5407130814996743,0.2462246295781184
w23,Baker's,58,12,0.8306159420289855,0.74882395017863,0.10683605555653652
w23,Contusion,58,19,0.7037786774628879,0.5184417050405852,0.20286445228331107
w23,Fracture,58,18,0.8243055555555556,0.6181445892399239,0.1620403437023011
fast_replace,ACL,58,24,0.926470588235294,0.9341966078917832,0.09646333851884575
fast_replace,MCL,58,9,0.9501133786848073,0.6563492063492063,0.09768416230993035
fast_replace,Medial Meniscus,58,26,0.8443509615384615,0.8432380103009324,0.13671821045972066
fast_replace,Lateral Meniscus,58,23,0.8155279503105589,0.753381617747689,0.15494536661387817
fast_replace,Medial OA,58,15,0.8426356589147287,0.6314236306161326,0.21489776280622114
fast_replace,Lateral OA,58,11,0.7195357833655706,0.5430388325125167,0.2904100139954038
fast_replace,PF OA,58,21,0.8610038610038611,0.8490079106538733,0.16978884153972076
fast_replace,Effusion,58,35,0.6931677018633541,0.7816322053486825,0.2140965487377987
fast_replace,Synovitis,58,27,0.7335722819593787,0.7566258459437354,0.26224485646525914
fast_replace,Baker's,58,12,0.8306159420289855,0.74882395017863,0.10683605555653652
fast_replace,Contusion,58,19,0.7037786774628879,0.5184417050405852,0.20286445228331107
fast_replace,Fracture,58,18,0.8243055555555556,0.6181445892399239,0.1620403437023011
fast_fixed50,ACL,58,24,0.926470588235294,0.9341966078917832,0.09646333851884575
fast_fixed50,MCL,58,9,0.9501133786848073,0.6563492063492063,0.09768416230993035
fast_fixed50,Medial Meniscus,58,26,0.8443509615384615,0.8432380103009324,0.13671821045972066
fast_fixed50,Lateral Meniscus,58,23,0.8155279503105589,0.753381617747689,0.15494536661387817
fast_fixed50,Medial OA,58,15,0.8465116279069769,0.6951538718930024,0.1439024771733216
fast_fixed50,Lateral OA,58,11,0.7678916827852997,0.6393838936183434,0.1722776963019292
fast_fixed50,PF OA,58,21,0.8519948519948519,0.8111634976694795,0.13702219544058178
fast_fixed50,Effusion,58,35,0.6931677018633541,0.7816322053486825,0.2140965487377987
fast_fixed50,Synovitis,58,27,0.7037037037037037,0.6387110549759869,0.2199121773850299
fast_fixed50,Baker's,58,12,0.8306159420289855,0.74882395017863,0.10683605555653652
fast_fixed50,Contusion,58,19,0.7037786774628879,0.5184417050405852,0.20286445228331107
fast_fixed50,Fracture,58,18,0.8243055555555556,0.6181445892399239,0.1620403437023011
