OuterFold,Label,OuterTrainN,GoldPositive,GoldNegative,InnerCVSplits,InnerCVRepeats,InnerOOF_AUROC,InnerOOF_AP,InnerOOF_Brier,InnerPrior_Brier,InnerBrierImprovementVsPrior,InnerOOF_LogLoss,EvidenceAvailableN,EvidenceCoverage,EvidenceOnly_AUROC,EvidenceOnly_AP,EvidenceOnly_Brier,EvidenceOnly_Prior_Brier,EvidenceOnly_BrierImprovementVsPrior,OuterTrainPriorProbability,OuterTrainEvidencePriorProbability,PseudoLabelGateReason,PseudoLabelGatePass
3,ACL,47,19,28,5,5,0.943609022556391,0.9528567407824371,0.08779370067908358,0.24083295608872785,0.15303925540964425,0.3249991749980183,32,0.6808510638297872,1.0,1.0,0.06531780143546403,0.2490234375,0.18370563606453597,0.40425531914893614,0.53125,pass,True
3,MCL,47,7,40,5,5,0.9428571428571428,0.6349567099567099,0.10468931885308835,0.1267541874151199,0.022064868562031548,0.3768711412971038,24,0.5106382978723404,0.8655462184873949,0.6349567099567099,0.15660041533531815,0.2065972222222222,0.049996806886904055,0.14893617021276595,0.2916666666666667,pass,True
3,Medial Meniscus,47,21,26,5,5,0.8003663003663002,0.7696414412793757,0.15190626607479757,0.24717066545948385,0.09526439938468628,0.48642996585549414,28,0.5957446808510638,0.7944444444444445,0.8221678956005583,0.15167757160556844,0.2295918367346939,0.07791426512912547,0.44680851063829785,0.6428571428571429,pass,True
3,Lateral Meniscus,47,19,28,5,5,0.7951127819548872,0.7124486026926499,0.1557828327819833,0.24083295608872787,0.08505012330674458,0.49504908187101015,36,0.7659574468085106,0.8328173374613003,0.7510521437424551,0.14473406148267512,0.24922839506172836,0.10449433357905324,0.40425531914893614,0.4722222222222222,pass,True
3,Medial OA,47,13,34,5,5,0.7488687782805431,0.6373116455265284,0.17650890660874927,0.20009053870529647,0.023581632096547206,0.5351701864624242,4,0.0851063829787234,,,0.015104074490095775,0.0,-0.015104074490095775,0.2765957446808511,1.0,insufficient_evidence_n|evidence_auc_below_gate|evidence_brier_not_better_than_prior,False
3,Lateral OA,47,9,38,5,5,0.5263157894736842,0.3138806489994945,0.17289007897168338,0.1548211860570394,-0.018068892914643975,0.5324775221342083,0,0.0,,,,,,0.19148936170212766,,insufficient_evidence_n|evidence_auc_below_gate|evidence_brier_not_better_than_prior,False
3,PF OA,47,17,30,5,5,0.6490196078431372,0.6399668366631827,0.1986310826786691,0.23087369850611136,0.032242615827442256,0.5878087681244134,7,0.14893617021276595,0.3333333333333333,0.8734126984126983,0.1445620430427287,0.12244897959183675,-0.022113063450891965,0.3617021276595745,0.8571428571428571,insufficient_evidence_n|evidence_auc_below_gate|evidence_brier_not_better_than_prior,False
3,Effusion,47,28,19,5,5,0.6522556390977443,0.7051100030594992,0.22019451382756225,0.24083295608872787,0.020638442261165624,0.6302112916153882,42,0.8936170212765957,0.7011764705882353,0.7256594002165626,0.20753159274787214,0.24092970521541948,0.03339811246754734,0.5957446808510638,0.5952380952380952,pass,True
3,Synovitis,47,21,26,5,5,0.5366300366300366,0.5138140207910455,0.2372525127918638,0.24717066545948385,0.009918152667620056,0.7096237400175461,12,0.2553191489361702,0.07407407407407408,0.5970779220779221,0.25618746786653174,0.1875,-0.06868746786653174,0.44680851063829785,0.75,insufficient_evidence_n|evidence_auc_below_gate|evidence_brier_not_better_than_prior,False
3,Baker's,47,10,37,5,5,0.7648648648648648,0.7030081974762825,0.12722529001844315,0.16749660479855144,0.040271314780108286,0.42849845133203684,19,0.40425531914893614,0.8409090909090909,0.8271645021645022,0.1662964948771281,0.24376731301939059,0.07747081814226248,0.2127659574468085,0.42105263157894735,pass,True
3,Contusion,47,15,32,5,5,0.8145833333333334,0.6562049033045674,0.16898824417912392,0.21729289271163427,0.04830464853251035,0.5225324587117544,31,0.6595744680851063,0.7605042016806722,0.6802803295284497,0.20351776299155935,0.24765868886576473,0.04414092587420537,0.3191489361702128,0.45161290322580644,pass,True
3,Fracture,47,14,33,5,5,0.7857142857142857,0.6361402485278184,0.16887327744957836,0.20914440923494806,0.0402711317853697,0.5342158548472423,19,0.40425531914893614,0.8333333333333333,0.7231922398589066,0.1788022527002882,0.2493074792243768,0.07050522652408858,0.2978723404255319,0.47368421052631576,pass,True
