Variant,Scope,Seed,Epoch,GoldLoss,PseudoLoss,TotalLoss,LearningRate,ElapsedSeconds,PseudoMass::ACL,PseudoMass::MCL,PseudoMass::Medial Meniscus,PseudoMass::Lateral Meniscus,PseudoMass::Medial OA,PseudoMass::Lateral OA,PseudoMass::PF OA,PseudoMass::Effusion,PseudoMass::Synovitis,PseudoMass::Baker's,PseudoMass::Contusion,PseudoMass::Fracture,DiagnosticMacroAUROC,DiagnosticMacroAP,DiagnosticMacroF1,DiagnosticIsPristineOOF
w60,cv_fold_4,60004,1,0.8362060040235519,0.6951808035373688,0.8205365389585495,0.00040379170073213423,1.768385887145996,654.1000061035156,645.700005531311,962.9000205993652,1037.000020980835,1853.3473930358887,1824.546085357666,1865.9616889953613,950.2999782562256,1872.7141304016113,580.3000020980835,145.68000030517578,334.00000381469727,0.6613095238095238,0.5565388150209578,0.3438492063492064,False
w60,cv_fold_4,60004,2,0.5140726463869214,0.8375187497586012,0.5500111095607281,0.0009437317965886256,3.5766446590423584,656.0000076293945,644.100004196167,949.0999946594238,1087.500015258789,1845.6989822387695,1837.3425254821777,1857.6725883483887,966.100004196167,1884.7117042541504,522.9999961853027,156.05999898910522,319.30000352859497,0.6432870370370369,0.5725057118807119,0.3709656084656085,False
w60,cv_fold_4,60004,3,0.3300228309817612,0.9623356647789478,0.40027981903404,0.000997894146250357,5.364386320114136,664.9999990463257,692.3000020980835,992.5000133514404,1085.7999935150146,1843.5398063659668,1824.1329307556152,1859.6040382385254,944.4999847412109,1859.3125648498535,550.3000011444092,145.97999620437622,326.2999997138977,0.5959325396825398,0.5300150956847386,0.35701335701335696,False
w60,cv_fold_4,60004,4,0.21604554308578372,1.013470470905304,0.3046483164653182,0.0009859933784373501,7.161693096160889,682.9000043869019,650.4000053405762,999.0,1079.0,1849.677734375,1843.325626373291,1850.6409797668457,959.7999839782715,1863.6580238342285,566.4999961853027,148.67999815940857,314.0,0.670899470899471,0.6007719628255342,0.44726501711795835,False
w60,cv_fold_4,60004,5,0.09070089273154736,1.0230337847024202,0.19429343659430742,0.0009638300653841702,8.979880571365356,690.6000022888184,672.899998664856,947.6999988555908,1069.1000080108643,1834.690559387207,1827.4925689697266,1855.9347915649414,943.8999938964844,1855.8704452514648,530.0000066757202,155.8799991607666,322.30000019073486,0.6837962962962963,0.6170364357864359,0.3610449735449735,False
w60,cv_fold_4,60004,6,0.05981525720562786,0.9484488684684038,0.1585523267276585,0.0009318722236297356,10.77621579170227,617.0000009536743,662.3999996185303,983.7000007629395,1050.7000179290771,1844.043312072754,1831.573013305664,1856.8083724975586,945.1999759674072,1864.4976806640625,555.7000074386597,139.31999683380127,306.2000060081482,0.6717261904761904,0.58683170995671,0.40238095238095245,False
w60,cv_fold_4,60004,7,0.050129398703575134,0.8616625685244799,0.14029975421726704,0.000890794698060879,12.559927701950073,709.200005531311,696.9999990463257,998.700008392334,1094.1999988555908,1835.548484802246,1826.623348236084,1856.288974761963,966.2999954223633,1876.326328277588,553.8000030517578,152.9399962425232,338.5000009536743,0.6924933862433863,0.6427428622964338,0.40396825396825403,False
w60,cv_fold_4,60004,8,0.03771762241376564,0.7663912307471037,0.118681357242167,0.0008414649113999131,14.384785175323486,636.7999982833862,640.499997138977,971.9000091552734,1074.5000133514404,1835.6174545288086,1838.1149406433105,1865.397891998291,939.0999927520752,1881.8868598937988,585.8000030517578,151.31999564170837,319.20000553131104,0.6492724867724868,0.6181237974987974,0.39036935286935287,False
w60,cv_fold_4,60004,9,0.02877690613968298,0.7038155123591423,0.10378119768574834,0.0007849245470794208,16.192941665649414,683.8000030517578,687.8000087738037,979.3000030517578,1074.8000106811523,1834.2591133117676,1851.147590637207,1870.827335357666,966.399995803833,1856.552417755127,547.4000062942505,147.9599974155426,333.300000667572,0.6682539682539682,0.6219125352161067,0.35575396825396827,False
w60,cv_fold_4,60004,10,0.021955004427582026,0.6746804974973202,0.09448006004095078,0.0007223675523019238,18.01628065109253,676.6000051498413,677.7999973297119,963.5000133514404,1077.0000038146973,1843.8861541748047,1839.9774856567383,1860.7280197143555,952.9999866485596,1875.0687408447266,570.1000070571899,158.21999716758728,339.00000190734863,0.694510582010582,0.6237583745619459,0.4371184371184371,False
w60,cv_fold_4,60004,11,0.01762741635320708,0.6598996352404356,0.08899099729023874,0.0006551149257877237,19.861445426940918,675.3999929428101,692.4000034332275,985.6999950408936,1051.700008392334,1828.077491760254,1820.0275344848633,1846.6032371520996,969.8999919891357,1858.0635795593262,585.100004196167,147.7199957370758,334.40000200271606,0.7179563492063492,0.6738169535490964,0.4912878787878789,False
w60,cv_fold_4,60004,12,0.014852677762974054,0.6548619978129864,0.08596482500433922,0.0005845868226110556,21.695847749710083,684.100004196167,701.9000015258789,996.3000087738037,1066.2000102996826,1852.9295234680176,1830.9575653076172,1860.2748374938965,953.1999855041504,1873.2034225463867,542.2000017166138,155.3399965763092,318.2000036239624,0.6816798941798942,0.617664442039442,0.4359459984459985,False
w60,cv_fold_4,60004,13,0.012103180080885068,0.6451836936175823,0.08244545990601182,0.0005122725651789991,23.5646653175354,672.4000034332275,670.3000030517578,976.600004196167,1079.7999992370605,1855.3103713989258,1833.9364013671875,1859.708797454834,947.2999877929688,1861.1609153747559,561.9000034332275,147.53999948501587,325.99999809265137,0.7191137566137566,0.6603502284752284,0.4503459503459503,False
w60,cv_fold_4,60004,14,0.009886452244245447,0.6409968379884958,0.08000982878729701,0.0004396991936229908,25.431512117385864,685.9000015258789,678.4000024795532,972.0000076293945,1057.4000129699707,1848.7325019836426,1817.5699844360352,1869.619743347168,933.3999786376953,1872.620449066162,541.9000034332275,147.23999619483948,317.3000030517578,0.6966931216931217,0.6307536676286677,0.4570360195360195,False
w60,cv_fold_4,60004,15,0.008717577904462814,0.6389571763575077,0.078744200989604,0.000368399219715606,27.267409086227417,725.2999992370605,694.9000015258789,1003.9000015258789,1094.200008392334,1848.76216506958,1832.0665016174316,1864.0546035766602,964.3999977111816,1860.6746101379395,577.7000064849854,151.01999807357788,343.29999828338623,0.7119047619047619,0.6315473184223184,0.41825396825396827,False
w60,cv_fold_4,60004,16,0.008390873015741818,0.6365522686392069,0.07818658323958516,0.0002998782652442116,29.079161643981934,654.0999984741211,646.0000057220459,1008.5,1052.6999950408936,1837.548828125,1824.7517166137695,1849.5570793151855,932.5999870300293,1861.7045669555664,573.3000001907349,161.45999598503113,322.5999994277954,0.7245370370370371,0.6484123977873977,0.46309523809523806,False
w60,cv_fold_4,60004,17,0.007888747146353126,0.6337980590760708,0.07743422663770616,0.0002355832682129828,30.92677879333496,636.5000085830688,672.7000007629395,965.1000118255615,1043.4000225067139,1858.605152130127,1840.2047843933105,1860.868064880371,948.7999877929688,1868.3214149475098,556.2000017166138,153.83999609947205,336.5000009536743,0.7212301587301586,0.645059223184223,0.46428571428571425,False
w60,cv_fold_4,60004,18,0.007188195682829246,0.6311108712106943,0.07651293836534023,0.00017687192825410517,32.75985765457153,675.8000040054321,659.4000034332275,971.2000026702881,1032.0000190734863,1844.308837890625,1834.5989532470703,1863.5960502624512,952.2999877929688,1875.4359092712402,568.7000017166138,157.61999714374542,344.80000352859497,0.7341931216931217,0.6504428210678209,0.5364010989010989,False
w60,cv_fold_4,60004,19,0.006949278860702179,0.6318076532334089,0.07637798693031073,0.0001249840364609445,34.82347917556763,688.9999980926514,666.4000034332275,929.7000026702881,1050.8000164031982,1849.7589263916016,1838.0790557861328,1862.2570343017578,977.399995803833,1872.7195777893066,547.2000007629395,156.65999805927277,308.9000005722046,0.7226521164021165,0.6390728286264,0.5233238983238984,False
w60,cv_fold_4,60004,20,0.006580074768862687,0.6309146918356419,0.07595058670267463,8.10152950631509e-05,36.8011417388916,658.3000020980835,651.2000026702881,986.4000015258789,1057.5000095367432,1847.1735725402832,1825.5912055969238,1861.995376586914,946.699987411499,1859.816993713379,534.6999921798706,137.51999592781067,303.10000467300415,0.7383928571428572,0.6490066910602624,0.4917582417582418,False
w60,cv_fold_4,60004,21,0.006868959157145582,0.6298856902867556,0.07609304087236524,4.589417978636221e-05,38.882551431655884,683.3000030517578,640.200005531311,982.5,1079.9000091552734,1853.8073272705078,1828.4517822265625,1864.4808502197266,923.0999984741211,1877.6942291259766,537.8999977111816,158.57999634742737,326.30000257492065,0.7328373015873016,0.6471548392084107,0.49572649572649574,False
w60,cv_fold_4,60004,22,0.006494131681392901,0.6297904681414366,0.07574928179383278,2.0362333487643505e-05,40.92237615585327,673.5999975204468,635.5999975204468,1002.2999992370605,1070.400001525879,1840.109275817871,1830.2721786499023,1855.2394180297852,962.4999923706055,1853.1218948364258,551.6999998092651,145.13999903202057,293.6000003814697,0.7328373015873016,0.6471548392084107,0.4917582417582418,False
w60,cv_fold_4,60004,23,0.006818944908445701,0.6275997273623943,0.0757945878431201,4.958905088830256e-06,42.91012692451477,683.8000020980835,680.2000045776367,967.6999950408936,1053.0,1846.9857711791992,1835.9154739379883,1857.208839416504,969.9999752044678,1874.9605331420898,566.9000062942505,145.31999588012695,340.5000042915344,0.7247354497354498,0.641354574658146,0.4917582417582418,False
w60,cv_fold_4,60004,24,0.006276237225392833,0.6271731797605753,0.07526478706859052,9.164518176878753e-09,44.9665744304657,698.1000061035156,669.5000019073486,969.1999969482422,1068.8000049591064,1853.810676574707,1848.1671333312988,1857.4736938476562,975.699987411499,1868.8670616149902,578.4999952316284,152.5799961090088,328.5000014305115,0.7247354497354498,0.641354574658146,0.4917582417582418,False
