Epoch,OOF_Macro_AUROC,OOF_Macro_AP,OOF_Macro_F1
1,0.4856542567987318,0.39049649334860864,0.32447698774974904
2,0.5027699789574439,0.4028880991599162,0.4125084672390233
3,0.4995032185798329,0.3687396353086923,0.3140347991229631
4,0.5086394198289318,0.3817026886600283,0.3194179248150746
5,0.5031667624500363,0.40833372406593477,0.3821127624096603
6,0.5121053052658199,0.3963960066229352,0.3386221881944707
7,0.5223405954006893,0.39254863638199633,0.3402797807014068
8,0.5156623499736185,0.42926727489480015,0.35822435260551694
9,0.5141757119030245,0.41141312409013414,0.33849860503187174
10,0.5203411537324102,0.4194335197391139,0.3338094325217699
11,0.5261150670184788,0.42256573666739955,0.33713622261067994
12,0.5243007501344246,0.42646165536969166,0.34162458014537816
