System,N,Exact7StateAgreement,BinaryComparableN,BinaryPolarityAccuracy,PolarityReversals,ReviewerPositiveN,PositiveRecall,ReviewerNegativeN,NegativeRecall,RuleNotMentionedEvidenceMisses,HybridRecoveredAnyEvidence,HybridRecoveredExactAssertion
W1.2_rule,120,0.35,51,0.7647058823529411,12,73,0.5205479452054794,14,0.07142857142857142,26,3,2
W2_semantic_only,120,0.13333333333333333,17,0.6470588235294118,6,73,0.1506849315068493,14,0.0,26,3,2
W2_hybrid,120,0.36666666666666664,54,0.7592592592592593,13,73,0.547945205479452,14,0.07142857142857142,26,3,2
