Epoch,OOF_Macro_AUROC,OOF_Macro_AP,OOF_Macro_F1
1,0.47828286942421966,0.36292089086969165,0.3625244954939324
2,0.49383703575249854,0.3817717913314704,0.4175477388258852
3,0.5095169970089456,0.3840295560260381,0.39857672250760107
4,0.498344111986744,0.3810820046111159,0.3835576693180554
5,0.5077793468670121,0.39557967021976165,0.4454042728458782
6,0.5137916506930142,0.39063695627721257,0.3800308153061598
7,0.5397503607208561,0.4002274258051732,0.4183924431814703
8,0.5086620749754339,0.3966278500112807,0.40138627291236423
9,0.5197101605287905,0.4095516105407144,0.3920360947741665
10,0.5357575190726048,0.4197167976667218,0.38242768360184315
11,0.545280498524893,0.43100684095041225,0.43081856402743757
12,0.5459179096093576,0.43312810539264596,0.407159620467866
