Fold,Epoch,LearningRate,GoldLoss,PseudoLoss,TotalLoss,GoldSteps,PseudoStudiesSeenThisEpoch,PseudoSelectedCellsSeenThisEpoch,ValLoss,ValMacroAUROC,ValMacroAP,ValMacroF1
5,1,0.0009829799502313896,1.0156040337350634,0.798445098929935,1.215215305487315,45,45,113,0.897038432267996,0.5530874218374219,0.47123022810522813,0.21458333333333335
5,2,0.0009330796891903274,0.9841056360138787,0.6931621193885803,1.1573961681789822,45,45,108,0.8869669529107901,0.5143217893217894,0.44876235206592346,0.267687908496732
5,3,0.0008536998372026806,0.9414380100038316,0.6821301241715749,1.1119705425368416,45,45,104,0.8749107856016892,0.5234668109668109,0.4431378261288976,0.2885873793962029
5,4,0.0007502500000000002,0.9267522984080845,0.7015685439109802,1.1021444413397048,45,45,127,0.8725202221136826,0.5095959595959597,0.4358268693387741,0.21395113600995952
5,5,0.0006297801130287093,0.9363887336519029,0.6950135509173075,1.1101421197255452,45,45,117,0.8696111119710482,0.5370610870610871,0.46268675768675765,0.15102124183006535
5,6,0.0005005000000000001,0.9379660964012146,0.6738388419151307,1.1064258098602295,45,45,109,0.8878305921187768,0.5169823232323232,0.4573181910681911,0.25133477633477636
5,7,0.000371219886971291,0.9253115389082167,0.709258148405287,1.1026260786586337,45,45,104,0.8874089672015264,0.5334806397306396,0.4719899082399082,0.19087301587301586
5,8,0.00025075000000000016,0.9003948595788743,0.7084022435877059,1.0774954239527383,45,45,109,0.8938089884244479,0.55125962000962,0.48027273652273655,0.233017908017908
5,9,0.00014730016279731957,0.8856153991487291,0.6679456584983402,1.052601808971829,45,45,120,0.8987844448823196,0.5439664502164502,0.4763218329289758,0.22724867724867726
5,10,6.792031080967288e-05,0.8920510013898214,0.6829894622166951,1.062798363632626,45,45,92,0.8957372399476858,0.555360149110149,0.47705769759341193,0.22529627235509586
5,11,1.802004976861044e-05,0.8760455734199948,0.6909350117047628,1.0487793299886916,45,45,128,0.8947990307441125,0.5507786195286195,0.4711376123876125,0.18095238095238095
5,12,1e-06,0.8753876169522603,0.7147749516699049,1.0540813618236118,45,45,123,0.8948828486295847,0.5506794131794132,0.46979478358942645,0.18095238095238095
