OuterFold,Label,Source,TrainN,PositiveN,RawAUROC,Inverted,OrientedAUROC,OrientedAP,OrientedBrier,ReliabilityQuality,PlattFitted,PlattCoefficient,PlattIntercept
5,ACL,w23,45,19,0.9291497975708501,False,0.9291497975708501,0.9428780607349123,0.09391066638122442,0.5942074120211771,True,0.8708802768694885,-0.009746495298257307
5,MCL,w23,45,7,0.8984962406015038,False,0.8984962406015038,0.5262515262515263,0.12218887114045594,0.5517640254482359,True,0.785638641495654,0.2696033661233591
5,Medial Meniscus,w23,45,21,0.878968253968254,False,0.878968253968254,0.9194433261383728,0.10877283523751956,0.5247252747252746,True,0.828924069082727,0.024906265088918453
5,Lateral Meniscus,w23,45,18,0.7633744855967077,False,0.7633744855967077,0.6977640788124658,0.17695004094535058,0.3646723646723644,True,0.5578073057632643,0.04531118051820342
5,Medial OA,w23,45,12,0.6666666666666667,False,0.6666666666666667,0.46516903997524145,0.20723306629836297,0.23076923076923084,True,0.2630901144927489,0.049575809371687346
5,Lateral OA,w23,45,9,0.5370370370370371,False,0.5370370370370371,0.45756583706947423,0.15743732333938779,0.05128205128205132,True,0.35145015228482346,0.17797868164793723
5,PF OA,w23,45,17,0.5945378151260504,False,0.5945378151260504,0.6702716781326103,0.19056399570821358,0.1308985132514544,True,0.46122169140072306,0.07428909196665899
5,Effusion,w23,45,28,0.7226890756302521,False,0.7226890756302521,0.7836294030810204,0.20731001038295274,0.308338720103426,True,0.385685637269558,-0.062247943513993
5,Synovitis,w23,45,22,0.525691699604743,False,0.525691699604743,0.6111711465751387,0.2236653901532852,0.035573122529644285,True,0.2917417650252351,-0.01261226091365267
5,Baker's,w23,45,10,0.8571428571428571,False,0.8571428571428571,0.7708036408036407,0.11023573130429713,0.4945054945054945,True,0.79253151720412,0.05505565058404431
5,Contusion,w23,45,15,0.7711111111111112,False,0.7711111111111112,0.744577184228347,0.1610248618256922,0.3753846153846154,True,0.604551530588686,0.08359715196236729
5,Fracture,w23,45,15,0.7911111111111111,False,0.7911111111111111,0.7377313799687497,0.14348958189076857,0.4030769230769231,True,0.6736437565949756,0.10762990841289305
5,ACL,primary_teacher,45,19,0.9959514170040485,False,0.9959514170040485,0.9908466819221968,0.1119911111111111,0.6867019620056056,True,0.9017693797492456,-1.0018833497341613
5,MCL,primary_teacher,45,7,0.9661654135338346,False,0.9661654135338346,0.7428571428571429,0.12460444444444446,0.64545980335454,True,0.8674596701542127,-0.28495707150009675
5,Medial Meniscus,primary_teacher,45,21,0.9404761904761905,False,0.9404761904761905,0.9182626896912611,0.10575111111111112,0.6098901098901099,True,0.7429960535144996,-0.2169874932387237
5,Lateral Meniscus,primary_teacher,45,18,0.8292181069958848,False,0.8292181069958848,0.7161111111111111,0.1792,0.45584045584045585,True,0.5311734292990828,-0.13700640382411225
5,Medial OA,primary_teacher,45,12,0.8939393939393938,False,0.8939393939393938,0.7907407407407407,0.13546666666666665,0.5454545454545454,True,0.6802094973345025,-0.17242154826060166
5,Lateral OA,primary_teacher,45,9,0.8395061728395061,False,0.8395061728395061,0.581024531024531,0.15010666666666667,0.47008547008546997,True,0.6006488995982077,-0.10893033360748097
5,PF OA,primary_teacher,45,17,0.9212184873949579,False,0.9212184873949579,0.8708397832817338,0.11611555555555558,0.5832255979314802,True,0.7521437027318242,-0.007010643495031764
5,Effusion,primary_teacher,45,28,0.8613445378151261,False,0.8613445378151261,0.8767857142857143,0.16348444444444443,0.5003232062055591,True,0.6660622642613921,-0.5376873037426722
5,Synovitis,primary_teacher,45,22,0.7104743083003954,False,0.7104743083003954,0.7005509641873278,0.2018222222222223,0.291425965339009,True,0.5231336835614969,0.2386327883661894
5,Baker's,primary_teacher,45,10,0.9199999999999999,False,0.9199999999999999,0.7106837606837606,0.11115555555555558,0.5815384615384613,True,0.8475123153357838,-0.043435900106535134
5,Contusion,primary_teacher,45,15,0.7922222222222222,False,0.7922222222222222,0.6257004830917874,0.2503022222222222,0.4046153846153846,True,0.464511727363668,-0.2708171105669214
5,Fracture,primary_teacher,45,15,0.9066666666666667,False,0.9066666666666667,0.8509803921568627,0.10445333333333336,0.5630769230769233,True,0.7853022891380504,0.17113630582878517
