Variant,Fold,Epoch,GoldLoss,PseudoLoss,TotalLoss,LearningRate,ValMacroAUROC,ValMacroAP,ValMacroF1,PseudoSeenCells__ACL,PseudoSeenCells__MCL,PseudoSeenCells__Medial Meniscus,PseudoSeenCells__Lateral Meniscus,PseudoSeenCells__Medial OA,PseudoSeenCells__Lateral OA,PseudoSeenCells__PF OA,PseudoSeenCells__Effusion,PseudoSeenCells__Synovitis,PseudoSeenCells__Baker's,PseudoSeenCells__Contusion,PseudoSeenCells__Fracture
gold_only,5,1,0.8581793550401926,0.0,0.8581793550401926,0.00040379170073213423,0.603577441077441,0.5090582912457912,0.3253765727449938,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,5,2,0.6130403410643339,0.0,0.6130403410643339,0.0009437317965886256,0.6280663780663781,0.5687461381211381,0.4339780589780589,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,5,3,0.31307340878993273,0.0,0.31307340878993273,0.000997894146250357,0.6208363395863395,0.5103493728493729,0.3602693602693603,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,5,4,0.16955213411711156,0.0,0.16955213411711156,0.0009859933784373501,0.5545815295815296,0.47385277420991706,0.32011993997288113,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,5,5,0.07681974640581757,0.0,0.07681974640581757,0.0009638300653841702,0.6224386724386725,0.4959948153698153,0.3901094276094277,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,5,6,0.035869729588739574,0.0,0.035869729588739574,0.0009318722236297356,0.6134559884559885,0.48630050835407973,0.40598300335142445,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,5,7,0.021949814952677116,0.0,0.021949814952677116,0.000890794698060879,0.6198532948532949,0.5141204397454398,0.4059318132847545,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,5,8,0.017932133690919727,0.0,0.017932133690919727,0.0008414649113999131,0.5951298701298702,0.48933598808598805,0.3720365418894831,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,5,9,0.013385543308686465,0.0,0.013385543308686465,0.0007849245470794208,0.6056848244348244,0.4754290385540385,0.33643048128342246,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,5,10,0.01081011031055823,0.0,0.01081011031055823,0.0007223675523019238,0.621993746993747,0.5073623367373368,0.3408871357400769,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,5,11,0.008729151886655018,0.0,0.008729151886655018,0.0006551149257877237,0.6236772486772487,0.5151335007585008,0.31574283559577676,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,5,12,0.00777133833616972,0.0,0.00777133833616972,0.0005845868226110556,0.6222883597883598,0.5053601953601955,0.3768178716708129,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,5,13,0.0063366569665959105,0.0,0.0063366569665959105,0.0005122725651789991,0.6203373015873016,0.5024498418248418,0.3337983911513323,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,5,14,0.005707640171749517,0.0,0.005707640171749517,0.0004396991936229908,0.6269660894660894,0.5118939856439857,0.34953913189207303,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,5,15,0.007068754261126742,0.0,0.007068754261126742,0.000368399219715606,0.6386934824434825,0.5083853877603878,0.3328063276592688,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,5,16,0.0069021517265355214,0.0,0.0069021517265355214,0.0002998782652442116,0.6143187830687831,0.4837894281644281,0.2966524216524216,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,5,17,0.006365059191011824,0.0,0.006365059191011824,0.0002355832682129828,0.612761544011544,0.4757253890289604,0.2919198992728405,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,5,18,0.0047463212758884765,0.0,0.0047463212758884765,0.00017687192825410517,0.6211790524290525,0.49041694747051895,0.2956236029765442,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,5,19,0.0049915170384338126,0.0,0.0049915170384338126,0.0001249840364609445,0.6177068302068301,0.48740468195825337,0.3069872393401805,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,5,20,0.004283380614651833,0.0,0.004283380614651833,8.10152950631509e-05,0.6253457190957191,0.495741021544593,0.3166026239555652,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,5,21,0.0038794748616055585,0.0,0.0038794748616055585,4.589417978636221e-05,0.6225679413179414,0.49193811149168293,0.3069872393401805,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,5,22,0.004279850822058506,0.0,0.004279850822058506,2.0362333487643505e-05,0.6230309042809044,0.48962329667686816,0.2921724245253657,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,5,23,0.0037294568537618034,0.0,0.0037294568537618034,4.958905088830256e-06,0.6237253487253488,0.4880029263064978,0.3069872393401805,0,0,0,0,0,0,0,0,0,0,0,0
gold_only,5,24,0.0038861391876707785,0.0,0.0038861391876707785,9.164518176878753e-09,0.6237253487253488,0.4880029263064978,0.3069872393401805,0,0,0,0,0,0,0,0,0,0,0,0
